Agent,Before_SR,Before_MR,Before_Std,After_SR,After_MR,After_Std,DeltaSR
DQN,0.0,114.0,0.0,100.0,250.0,0.0,100.0
DDQN,0.0,98.0,0.0,100.0,254.5,0.0,100.0
